YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
2023,40,64939,430,285,1.10103,0.66216,0.438873
2023,41,65514,594,290,1.34933,0.906676,0.442653
2023,42,66801,693,318,1.51345,1.03741,0.476041
2023,43,69229,862,393,1.81282,1.24514,0.567681
2023,44,77193,1456,566,2.61941,1.88618,0.733227
2023,45,92301,2582,1072,3.95879,2.79737,1.16142
2023,46,100657,3647,1250,4.86504,3.6232,1.24184
2023,47,95152,4333,1347,5.9694,4.55377,1.41563
2023,48,117707,6563,1703,7.02252,5.57571,1.44681
2023,49,125359,10163,2202,9.86367,8.10712,1.75656
2023,50,137785,15245,3331,13.4819,11.0643,2.41753
2023,51,154501,22244,4662,17.4148,14.3973,3.01746
2023,52,152599,22859,5001,18.2577,14.9798,3.27722
2024,1,137969,15372,3668,13.8031,11.1416,2.65857
2024,2,130403,14374,3708,13.867,11.0228,2.84349
2024,3,116068,13212,4085,14.9059,11.383,3.51949
2024,4,120481,14151,5283,16.1303,11.7454,4.38492
2024,5,123949,13522,6690,16.3067,10.9093,5.39738
2024,6,124097,12145,7526,15.8521,9.7867,6.06461
2024,7,120149,11039,7665,15.5673,9.18776,6.37958
2024,8,118107,10143,8185,15.5181,8.58798,6.93016
2024,9,109663,8944,7447,14.9467,8.1559,6.7908
2024,10,103198,7779,6902,14.2261,7.53794,6.68811
2024,11,97623,5797,5841,11.9214,5.93815,5.98322
2024,12,90497,4766,4612,10.3628,5.26647,5.0963
2024,13,86150,4001,3884,9.15264,4.64423,4.50842
2024,14,81186,3211,2918,7.54933,3.95512,3.59422
2024,15,77347,2366,2123,5.80372,3.05894,2.74477
2024,16,71241,1856,1548,4.77815,2.60524,2.17291
2024,17,69654,1490,1169,3.81744,2.13914,1.6783
2024,18,59478,1100,815,3.21968,1.84942,1.37025
2024,19,53386,807,451,2.35642,1.51163,0.844791
2024,20,51355,594,353,1.84403,1.15665,0.687372
2024,21,49730,535,288,1.65494,1.07581,0.579127
2024,22,44610,562,182,1.66779,1.25981,0.40798
2024,23,43200,503,145,1.5,1.16435,0.335648
2024,24,41352,424,113,1.29861,1.02534,0.273264
2024,25,39240,340,76,1.06014,0.866463,0.19368
2024,26,36011,286,44,0.916387,0.794202,0.122185
2024,27,34821,318,31,1.00227,0.913242,0.0890267
2024,28,36979,279,36,0.851835,0.754482,0.0973526
2024,29,29220,174,21,0.667351,0.595483,0.0718686
